>>> %Run -c $EDITOR_CONTENT
p_0 = 102074.488, T_0 = 15.75, h_0 = -0.0, LAMBDA = -0.0065, EXP = 0.19004424, 
p_t = 102074.66, T_t = 15.83, h_t = 0.0008665598
p_t = 102077.78, T_t = 15.84, h_t = 0.01502037
p_t = 102072.11, T_t = 15.84, h_t = -0.010687571
p_t = 102079.34, T_t = 15.75, h_t = 0.021952848
p_t = 102072.48, T_t = 15.79, h_t = -0.009098878
p_t = 102072.52, T_t = 15.86, h_t = -0.008810025
p_t = 102066.77, T_t = 15.76, h_t = -0.03480682
p_t = 102073.19, T_t = 15.62, h_t = -0.0057770656
p_t = 102060.89, T_t = 15.47, h_t = -0.06138132
p_t = 102066.44, T_t = 15.3, h_t = -0.036251088
p_t = 102065.11, T_t = 15.17, h_t = -0.042317008
p_t = 102072.73, T_t = 15.06, h_t = -0.007943465
p_t = 102066.93, T_t = 14.91, h_t = -0.034084684
p_t = 102061.89, T_t = 14.74, h_t = -0.05675967
p_t = 102064.16, T_t = 14.58, h_t = -0.046649804
p_t = 102057.54, T_t = 14.47, h_t = -0.07640169
p_t = 102053.0, T_t = 14.39, h_t = -0.096910268
p_t = 102045.2, T_t = 14.32, h_t = -0.13215036
p_t = 102048.34, T_t = 14.24, h_t = -0.117996568
p_t = 102040.97, T_t = 14.16, h_t = -0.15121469
p_t = 102037.16, T_t = 14.04, h_t = -0.16840146
p_t = 102040.696, T_t = 13.94, h_t = -0.15251453
p_t = 102034.07, T_t = 13.83, h_t = -0.182410852
p_t = 102037.19, T_t = 13.75, h_t = -0.168257032
p_t = 102033.0, T_t = 13.65, h_t = -0.187176932
p_t = 102032.13, T_t = 13.61, h_t = -0.19107644
p_t = 102026.38, T_t = 13.54, h_t = -0.217073232
p_t = 102020.22, T_t = 13.48, h_t = -0.24480314
p_t = 102018.93, T_t = 13.42, h_t = -0.25072464
p_t = 102020.03, T_t = 13.34, h_t = -0.245669716
p_t = 102016.7, T_t = 13.29, h_t = -0.2606901
p_t = 102022.68, T_t = 13.23, h_t = -0.23382672
p_t = 102018.56, T_t = 13.17, h_t = -0.25231336
